,赤色TNPNO,TJ,JAN,商品名,入数,箱数,在庫数,賞味期限,原価,会長原価修正,
1,1,45019517,45019517,大塚製薬　ポカリスウェット,24,0,0,2026/6,76,,1
2,3,4514410206168,4514410206168,湖池屋　キッチントルティアチップス塩味,12,17,204,2026/12,128,,1
3,8,4514603284317,4514603284317,ワンダモーニングショット　1缶,30,4,120,2026/8,39,,
4,9,4514603458121,4514603458121,アサヒ　ウイルキンソンタンサン6本セット,4,0,0,2026/9/7,300,,1
5,10,4514603465426,4514603465426,ウィルキンソン　タンサンレモン　マルチパック,4,0,0,2026/9/2,300,,1
6,11,4516974709994,4516974709994,島原手延素麺　250g,30,6,180,2027/06/30,80,,1
7,13,4537048404850,4537048404850 ,インターF スイートコーン・ホール 425g.,24,4,96,2028/03/31,64,,1
8,14,4537048408551,4537048408551,インターフレッシュ スイートコーン 125g×3,24,2,48,2028/2/27,120,,1
9,15,4538872285127,4538872285127,吉野家　缶飯　焼鶏丼,12,5,60,2029/8,120,,1
10,16,4538872286018,4538872286018,吉野家　缶飯　焼塩さば丼,12,5,60,2029/6/30,120,,1
11,17,4538872294013,4538872294013,吉野家　缶飯　牛丼,12,9,108,2029/9,120,,1
12,18,4546786100122,4546786100122,日本海水 食塩　5kg,4,9,36,-,240,,1
13,19,4546786100122,4546786100122,日本海水 食塩　5kg,4,24,96,-,240,,1
14,21,4560132325137,4560132325137,朝日 カットトマト缶ジュースづけ,24,7,168,2027/07/31,88,,1
15,22,4560292290016,4560292290016,レッドブル　250ml,24,15,360,2026/12/31,110,,1
16,25,4562355176169,4562355176169,ISDG　中華房絶対虜！？ガチ中華マーラータン,12,4,48,2026/8/2,242,,
17,28,4571245531216,4571245531216,リンガーハット　ちゃんぽん鍋スープ　700g,12,20,240,2027/１/29,100,,1
18,30,4571245531551,4571245531551,リンガーハット　長崎ちゃんぽんごま豆乳とんこつ味,12,13,156,2026/10/10,100,,1
19,33,4691678131231,4691678131231,信州味噌　白味噌,6,0,0,2026/8/26,120,,1
20,40,4901001542390,4901001542390,味の素 鶏がゆ,9,20,180,2026/12/15,110,,1
21,43,4901001554126,4901001554126,味の素　パスタキューブ香味ボロネーゼ4個　36g,8,0,0,2026/10,98,,1
22,44,4901001563326,4901001563326,味の素 アクアソリタ 500mlペットボトル,24,0,0,2026/12/03,49,,1
23,45,4901001624157,4901001624157,クックドゥ　KOREA　プルコギ用　90g,40,3,120,2027/2,75,,1
24,46,4901001665617,4901001665617,味の素　スチーミーだし香るむね肉のしっとり蒸し鶏用,10,10,100,2027/1,96,,1
25,49,4901001862023,4901001862023,味の素　白米どうぞ　31.5g,5,39,195,2026/10/4,250,,
26,61,4901006120531,4901006120531,井村屋　もっちりぷるんわらびもち黒糖,8,24,192,2026/11/3,105,,1
27,62,4901006351331,4901006351331,井村屋　2合用お赤飯の素,60,10,600,2027/1/19,68,,1
28,63,4901006370325,4901006370325,井村屋　ぜんざいファミリーパック　400g,12,8,96,2027/1/13,145,,1
29,65,4901006370752,4901006370752,井村屋　レンジで簡単！ぜんざい　1人前,30,6,180,2027/6,53,,1
30,66,4901006370769,4901006370769,井村屋　レンジで簡単！おしるこ,30,21,630,2027/6,47,,1
31,71,4901033643713,4901033643713,marusan　ひとつ上の豆乳,12,6,72,2026/12/3,48,,
32,72,4901108012819,4901108012819,エバラ　プチッと鍋　ちゃんこ鍋　23gX6,12,20,240,2027/7/6,80,,1
33,78,4901108016039,4901108016039,エバラ 黄金の味濃熟. 360g,12,9,108,2027/1/6,158,,1
34,85,4901108017234,4901108017234,エバラ　プチッと中華クイック香味オイスター炒め,12,5,60,2027/4/30,80,,1
35,87,4901111523371,4901111523371,ブレンディ　毎日の腸活コーヒー　袋　80g,12,6,72,2027/3,400,,1
36,88,4901111524699,4901111524699,ブレンディ　まろやかな香りブレンド　袋　90g,12,17,204,2027/5/1,400,,1
37,91,4901111570177,4901111570177,ブレンディ　エスプレッソ　袋　90g,12,7,84,2027/8,420,,1
38,92,4901111586352,4901111586352,ちょっと贅沢な珈琲店マイルドブレンド　240g,12,34,408,2027/1,390,,1
39,93,4901111586727,4901111586727,AGF　ブレンディスティックとろけるミルクカフェオレ　8本入り,24,5,120,2027/12,132,,1
40,95,4901111659261,4901111659261,AGF　ブレンディ安らぎのカフェインレスブラック　7本入り,24,5,120,2027/12,171,,1
41,96,4901111740563,4901111740563,AGF　ちょっと贅沢な珈琲店RCモカB　240g,12,6,72,2027/2,420,,1
42,97,4901111807655,4901111807655,AGF　ちょっと贅沢な珈琲店プレミアムブラック産地でアソート,12,4,48,2027/9,210,,1
43,98,4901111897076,4901111897076,森彦の時間　雪レギュラーコーヒー　140g,12,5,60,2027/1,420,,
44,100,4901111938847,4901111938847,AGF　ちょっと贅沢な珈琲店スペシャルブレンドレギュラーコーヒー粉　240g,12,6,72,2027/3,340,,1
45,101,4901111973473,4901111973473,AGF　贅沢STブラックマスターこだわりブレンド,12,13,156,2027/4,299,,1
46,113,4901191660522,4901191660522,大森屋　おつまみわかめ　14g,60,24,1440,2026/8/31,70,,1
47,114,4901201136184,4901201136184,UCC　おいしいカフェインレスコーヒーコク深め,6,8,48,2027/2,175,,1
48,122,4901306007389,4901306007389,カゴメ　旨辛チリトマト鍋スープ　700g,12,6,72,2027/11/18,130,,1
49,128,4901325000439,4901325000439,homemadeCAKEデコペンチョコ,60,0,0,2026/12/31,8,,1
50,130,4901325101259,4901325101259,共立　アイシングシュガー　60g(20g×3色),60,3,180,2026/11/16,10,,1
51,131,4901325101327,4901325101327,アイシングシュガーペン3色,60,103,6180,2026/12/7,6,,1
52,133,4901325300713,4901325300713,トッピングアラザンミックス,40,94,3760,2026/10/4,5,,1
53,134,4901325301239,4901325301239,共立　シュガースプレー,40,54,2160,2026/12/3,5,,1
54,136,4901325302038,4901325302038,トッピングジュエリーシュガー,40,66,2640,2026/12/7,5,,1
55,138,4901325302632,4901325302632,トッピングパステルシュガー,40,34,1360,2026/10/2,5,,1
56,139,4901325302656,4901325302656,共立　アイシングシュガー(植物由来色素使用) 60g(20g×3),60,5,300,2026/12/5,20,,1
57,144,4901325303417,4901325303417,homemadeCAKE　4色デコペン,60,46,2760,2026/11/26,15,,1
58,147,4901325402974,4901325402974,共立　レーズンミックス　40g,72,6,432,2026/7/9,50,66,1
59,148,4901325402974,4901325402974,共立　レーズンミックス　40g,72,22,1584,2026/8/22,50,66,1
60,150,4901325404176,4901325404176,共立　レーズン　35g,72,3,216,2026/10/16,35,46,
61,151,4901325404176,4901325404176,共立　レーズン　35g,72,15,1080,2027/1/9,30,39,1
62,164,4901330307639,4901330307639,カルビー　ポテトチップス贅沢ショコラフルーツスナックフルッツカリッとバナナ,12,16,192,2027/2,59,,1
63,181,4901678130227,4901678130227,家博信州味噌山吹無添加　650g,6,28,168,2026/10/12,120,,1
64,186,4901777247680,4901777247680,サントリー　伊右衛門　特茶S　500ml,24,74,1776,2026/11,108,,1
65,188,4901791004733,4901791004733,岩のり,15,5,75,2027/1/26,150,,1
66,190,4901901006008,4901901006008,マルハニチロ　金のどんぶり中華丼,50,9,450,2027/10/02,63,,1
67,195,4901990052429,4901990052429,マルちゃん　ワンタンバラエティーパック　4食入り,6,0,0,2026/8/9,220,,1
68,197,4901990062213,4901990062213,マルちゃん　ワンタン鶏だし旨味しお味,20,6,120,2026/8/16,55,,1
69,198,4901990062213,4901990062213,マルちゃん　ワンタン鶏だし旨味しお味,20,17,340,2026/9/7,55,,
70,203,4901990168083,4901990168083,マルちゃん　ふっくらおこわ鶏ごぼう　1P,10,20,200,2026/7/15,89,,1
71,212,4901990382953,4901990382953,マルちゃん　正麺野菜ちゃんぽん,12,6,72,2026/7/28,118,,1
72,213,4901990383400,4901990383400,クッタフレンチサラダ味,12,31,372,2026/8/20,78,,1
73,217,4901990623711,4901990623711,マルちゃん　おだしのきいたおもちすうぷ,6,44,264,2026/10,65,,1
74,233,4902105255797,4902105255797,日清　ソース焼そばチキンコンソメスープ付き,12,6,72,2026/9/9,68,,
75,236,4902110251531,4902110251531,ママー　マカロニグラタンセットミートソース,12,16,192,2026/9/22,58,,1
76,237,4902110251548,4902110251548,ママー　マカロニグラタンチーズソース用2人前69,12,146,1752,2026/8/27,58,,1
77,239,4902110262070,4902110262070,ママー　早ゆでスパゲティ1.6mm結束　400g,20,26,520,2028/10,125,,1
78,240,4902110262087,4902110262087 ,ママー　早ゆで4分　1.8mm,20,7,140,2028/7/1,125,,1
79,242,4902110326642,4902110326642,ママー　ペンネ　159g,12,7,84,2028/6/13,75,,1
80,243,4902110331288,4902110331288,マ・マースパゲティ　1.4mm,25,7,175,2028/8,150,,1
81,244,4902110373936,4902110373936,青の洞窟カルボナーラ,30,4,120,2026/11/20,125,,1
82,245,4902170056831,4902170056831,オーマイ　ミートソース　2人前,24,8,192,2026/11,80,,1
83,246,4902170056848,4902170056848,オーマイ　ナポリタン　240g,24,0,0,2026/11,129,,1
84,250,4902179024527,4902179024527,サンガリア　うましゅわさくらんぼソーダ　500ml,24,14,336,2026/7/25,45,,
85,253,4902201444187,4902201444187,ネスカフェ　アイスブレンド,24,3,72,2028/1,360,,1
86,267,4902380198390,4902380198390,日清　アマニ油ドレッシング　こく和風,12,38,456,2026/8/21,105,,1
87,269,4902380198598 ,4902380198598 ,トスカーナオリーブオイル,12,7,84,2026/9/11,400,,1
88,276,4902401512457,4902401512457,ハナマルキ　すぐ旨カップ　みそ辛ッッ　12.1g,6,0,0,2027/1/19,45,,1
89,281,4902462007626,4902462007626,早川製菓 らぶいーずレモン&いちごミルクキャンディ 44g,20,21,420,2026/10/30,38,,1
90,282,4902463010298,4902463010298,やき麩,20,5,100,2026/9/15,65,,1
91,287,4902521123472,4902521123472,ハインツ　煮込みハンバーグソースガーリックトマト,60,3,180,2027/1/24,80,,1
92,288,4902560022644,4902560022644,はごろもシーチキンエブリ,24,6,144,2028/9,84,,1
93,289,4902560166102,4902560166102,はごろもフーズマンゴーダイスカット,6,21,126,2027/5/16,220,,1
94,291,4902560175678,4902560175678,はごろもフーズ　おしるこ,20,40,800,2027/12,47,,1
95,293,4902571761501,4902571761501,はくばくもち麦おかゆ,8,20,160,2027/06/9,87,,1
96,294,4902701900213,4902701900213,マイシロップメロン　350ml,15,8,120,2027/7/18,30,,1
97,297,4902701908288,4902701908288,おいしい缶詰日本海育ちのオイルサーディン,30,4,120,2028/10/1,235,,1
98,310,4902733143503,4902733143503,三河屋製菓　えび満月　おだし風味,12,76,912,2026/7/31,65,,1
